220	4
350	4
477	4
598	4
709	4
821	4
959	1
980	1
1014	4
1044	1
1057	4
1092	1
1139	4
1169	1
1199	1
1229	1
1255	4
1285	1
1298	5
1406	6
1436	1
1462	1
1492	4
1526	1
1543	4
1569	4
1616	1
1642	4
1677	1
1702	1
1732	4
1750	1
1780	5
1885	6
1913	1
1943	1
1973	4
2003	1
2020	4
2051	4
2098	1
2128	4
2158	1
2188	1
2214	4
2240	1
2257	5
2370	6
2395	1
2425	1
2455	4
2481	1
2498	4
2528	4
2571	1
2588	4
2635	1
2666	1
2696	4
2726	1
2743	5
2850	6
2876	1
2906	1
2936	4
2967	1
2984	4
3014	4
3048	1
3066	4
3091	1
3117	1
3147	4
3177	1
3203	5
3320	6
3354	1
3384	1
3414	4
3444	1
3461	4
3491	4
3530	1
3543	4
3569	4
3595	1
3625	1
3655	4
3678	1
3690	5
3790	6
