145	1
160	4
200	1
235	1
265	1
295	1
310	4
325	1
340	4
380	1
415	1
430	1
460	1
485	4
500	1
515	4
540	2
595	3
605	5
700	6
710	2
755	3
765	1
800	1
830	1
860	1
875	4
890	1
905	4
945	1
980	1
1010	1
1040	1
1055	4
1070	1
1085	4
1125	1
1160	1
1190	1
1230	1
1245	4
1260	1
1275	4
1290	2
1375	3
1380	5
1470	6
1500	1
1525	1
1550	4
1590	1
1680	1
1720	4
1741	1
1784	1
1827	4
1853	1
1922	1
1943	4
1969	1
1986	4
2012	1
2034	4
2068	4
2085	1
2107	4
2158	1
2197	1
2223	1
2266	4
2279	1
2296	4
2339	1
2382	4
2429	4
2468	1
2511	4
2568	1
2610	1
2640	4
2657	2
2911	3
2975	1
2993	1
3018	4
3061	1
3160	1
3177	4
3199	1
3242	1
3285	4
3302	1
3375	1
3401	4
3423	1
3444	4
3470	1
3509	4
3526	4
3560	1
3603	4
3642	1
3663	1
3711	1
3724	4
3741	1
3780	4
3822	1
3870	4
3913	4
3960	1
4003	4
4046	1
4076	1
4089	4
4100	2
4360	3
4420	1
4437	1
4463	4
4502	1
4571	1
4592	4
4614	1
4639	1
4661	4
4704	1
4820	4
4863	4
4889	4
4932	1
4953	4
4979	1
5087	1
5126	1
5143	1
5164	4
5190	1
5229	4
5254	1
5362	1
5405	1
5440	4
5474	1
5525	5
5756	6
5800	1
5825	4
5850	1
5890	1
5980	1
6020	4
6041	1
6084	1
6127	4
6153	1
6222	1
6243	4
6265	1
6286	4
6317	1
6342	1
6364	4
6381	4
6403	1
6446	4
6493	4
6514	1
6553	5
6859	6
6897	1
6914	1
6940	4
7061	1
7091	1
7112	4
7129	1
7160	1
7181	1
7202	4
7241	1
7258	1
7297	4
7320	4
7403	1
7429	1
7455	5
7520	6
7588	1
7596	1
7631	5
7710	6
7760	1
7782	4
7812	1
7852	1
7873	4
7940	1
7970	1
7985	1
8012	4
8040	1
8140	1
8157	4
8183	1
8226	1
8269	4
8295	1
8360	1
8395	4
8430	1
8450	4
8475	1
8500	4
8520	4
8540	1
8560	4
8605	1
8647	1
8673	1
8737	4
8781	1
8823	4
8871	1
8918	4
8966	4
9008	1
9051	4
9073	1
9090	5
9187	6
9220	2
9270	3
9317	1
9350	4
9378	4
9416	1
9443	1
9468	1
9507	4
9598	1
9623	1
9649	4
9688	1
9735	1
9761	4
9825	1
9847	1
9868	4
9890	1
9911	4
9937	1
9963	4
9984	4
10003	1
10049	4
10092	1
10118	1
10187	1
10230	4
10273	1
10320	4
10363	1
10406	4
10449	4
10496	1
10518	4
10535	1
10552	4
10634	2
10720	3
10750	4
10780	4
10810	1
10862	4
10885	1
10905	1
10931	4
10969	1
11047	1
11068	4
11090	1
11116	1
11137	4
11176	1
11292	4
11335	4
11356	4
11399	1
11404	4
11425	1
11451	1
11584	1
11610	1
11631	4
10657	4
11705	1
11726	4
11834	1
11881	1
11902	1
11928	4
11954	1
11997	5
12270	6
12320	1
12354	1
12380	4
12423	1
12522	1
12543	4
12565	1
12603	1
12651	4
12672	1
12745	1
12767	4
12788	1
12810	4
12831	1
12853	1
12874	4
12896	4
12921	1
12960	4
13007	4
13029	1
13076	5
13600	6
13631	1
13665	1
13721	4
13773	1
13810	5
14070	6
14143	1
14160	4
14186	2
14320	3
14350	5
14424	6
14440	2
14500	3
14525	5
14680	6
14705	1
14723	4
14736	1
14758	4
14775	1
14798	4
12818	1
12835	4
12857	1
12882	4
